butterfly.family,butterfly.latin,butterfly.common,plant.latin,plant.common,num.hosts,IUCN,,,
Hesperidae,Epargyreus clarus,Silver Spotted Skipper,Robinia pseudoacacia,Black Locust,10,Least Concern,,,
Hesperidae,Hylephila phyleus,Fiery Skipper,Cynodon dactylon,Bermuda Grass,5,Least Concern,,,
Hesperidae,Pyrgus communis,Common Checkered Skipper,Malva sylvestris,Common Mallow,15,Least Concern,,,
Papilionidae,Battus philenor,Pipevine Swallowtail,Aristolochia macrophylla,Dutchman's Pipevine,5,Least Concern,,,
Papilionidae,Papilio cresphontes,Eastern Giant Swallowtail,Zanthoxylum americanum,Prickly Ash,10,Least Concern,,,
Papilionidae,Papilio glaucus,Eastern Tiger Swallowtial,Prunus serotina,Black Cherry,25,Least Concern,,,
Pieridae,Colias eurytheme,Orange Sulphur,Medicago sativa,Alfalfa,10,Least Concern,,,
Pieridae,Pieris rapae,Cabbage White,Brassica oleracea,Wild Cabbage,30,Least Concern,,,
Pieridae,Zerene cesonia,Southern Dogface,Medicago sativa,Alfalfa,5,Least Concern,,,
Nymphalidae,Adelpha californica,California Sister,Quercus wislizeni,Interior Live Oak,5,Least Concern,,,
Nymphalidae,Agralis vanillae,Gulf Fritillary,Passiflora incarnata,Purple Passion Vine,10,Least Concern,,,
Nymphalidae,Danaus gilippus,Queen,Ascelpius curassavica,Tropical milkweed,10,Least Concern,,,
Nymphalidae,Danaus plexippus,Monarch,Asclepias syriaca,Common Milkweed,7,Least Concern,,,
Nymphalidae,Junonia coenia,Common Buckeye,Plantago lanceolata,Narrow-Leaved Plantain,15,Least Concern,,,
Nymphalidae,Limenitis lorquini,Lorquin's Admiral,Salix lasiandra,Pacific Willow,5,Least Concern,,,
Nymphalidae,Nymphalis antiopa,Mourning Cloak,Salix nigra,Black Willow,20,Least Concern,,,
Nymphalidae,Vanesa atalanta,Red Admiral,Urtica dioica,Stinging Nettle,5,Least Concern,,, closely related to the painted lady
Nymphalidae,Vanessa cardui,Painted Lady,Heliannthus annus,Common Sunflower,100,Least Concern,,, commonly raised in classrooms
Lycaenidae,Brephidium exilis,Western Pygmy Blue,Atriplex canescens,Fourwing Saltbush,5,Least Concern,,,
Lycaenidae,Lycaena xanthoides,Great Copper,Rumex salicifolius,Willow Dock,10,Least Concern,,,
Lycaenidae,Atlides halesus,Great Purple Hairstreak,Phoradendron juniperinum,Juniper Mistletoe,10,Least Concern,,,
Lycaenidae,Plebejus melissa samuelis,Karner Blue,Lupinus perennis,Wild Lupine,1,Endangered,,,
